Peptide Length,Percentage
2,0.19960079840319359
3,0.08871146595697493
4,0.1330671989354624
5,0.6875138611665558
6,0.9536482590374805
7,3.50410290530051
8,1.4859170547793301
9,3.8811266356176537
10,2.062541583499667
11,2.705699711687736
12,3.8811266356176537
13,3.8811266356176537
14,2.2843202483921043
15,2.905300510090929
16,2.4617431803060548
17,2.705699711687736
18,2.3952095808383236
19,2.860944777112442
20,3.3488578398758038
21,2.1290751829673984
22,2.217786648924373
23,1.8407629186072298
24,2.8165890441339543
25,2.3952095808383236
26,1.752051452650255
27,2.062541583499667
28,2.19560878243513
29,2.1290751829673984
30,2.417387447327567
31,2.3064981148813484
32,1.6411621202040365
33,1.7298735861610113
34,1.7742293191394989
35,1.4637391882900865
36,1.5524506542470613
37,1.9294743845642048
38,1.5968063872255487
39,1.6411621202040365
40,1.996007984031936
41,1.5080949212685741
42,1.9516522510534489
43,1.996007984031936
44,1.4859170547793301
45,1.7964071856287425
46,1.8629407850964737
47,1.7742293191394989
48,1.7742293191394989
49,1.8629407850964737
50,1.9738301175426922
