Peptide Length,Percentage
2,3.004694835680751
3,27.230046948356808
4,10.234741784037558
5,12.676056338028168
6,9.389671361502346
7,6.854460093896714
8,5.352112676056338
9,3.943661971830986
10,4.507042253521127
11,2.7230046948356805
12,2.15962441314554
13,0.9389671361502347
14,2.910798122065728
15,1.2206572769953052
16,1.0328638497652582
17,1.2206572769953052
18,0.6572769953051643
19,0.18779342723004694
20,0.3755868544600939
21,0.28169014084507044
22,0.28169014084507044
23,0.3755868544600939
24,0.3755868544600939
25,0.28169014084507044
26,0.5633802816901409
28,0.09389671361502347
29,0.09389671361502347
30,0.09389671361502347
31,0.3755868544600939
34,0.09389671361502347
36,0.09389671361502347
40,0.09389671361502347
43,0.09389671361502347
49,0.18779342723004694
